title,episodes,released_date,end_date,producer_id,rating,studio
Ookiku Furikabutte: Natsu no Taikai-hen,Movie,2011-07-10,2016-03-19,6,2.95,Kyoto Animation 
Saiunkoku Monogatari 2nd Season,OVA,2006-02-22,2016-08-15,28,1.21,Studio Live
Sekaiichi Hatsukoi Movie: Yokozawa Takafumi no Baai,OVA,1998-10-12,2016-08-09,29,9.34,Studio Hibari
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie,OVA,1999-06-01,2016-08-11,28,1.71,Imagin 
Dennou Coil,Movie,1999-12-12,2016-08-08,23,0.78,Nippon Animation
Eureka Seven,27,2016-07-13,2017-09-23,9,6.32,Pierrot 
Ghost in the Shell: Stand Alone Complex - The Laughing Man,TV,2001-10-19,2016-10-18,25,6.83,Studio Nue
Gintama: Dai Hanseikai,45,2013-02-26,2016-10-10,17,9.68,Pierrot 
Hidamari Sketch: Sae Hiro Sotsugyou-hen,Movie,2014-04-01,2018-08-17,29,0.17,Studio Ghibli
Hikaru no Go,11,2010-05-04,2016-04-03,30,1.91,Imagin 
Kimi ni Todoke,Movie,2010-02-08,2016-03-25,26,6.22,Studio Hibari
Kokoro Connect: Michi Random,Movie,2013-09-14,2018-06-23,2,7.86,Studio Hibari
Tokyo Magnitude 8.0,Movie,1999-04-14,2016-09-23,22,5.27,Pierrot 
Cardcaptor Sakura,Movie,1997-02-19,2016-05-01,22,0.35,Imagin 
ef: A Tale of Melodies.,27,1999-12-11,2016-09-06,18,7.59,Pierrot 
Gin no Saji,34,1997-10-15,2016-01-25,6,7.88,Pierrot 
Hachimitsu to Clover,TV,1999-02-07,2016-12-19,4,8.43,Studio Gokumi
Kodomo no Omocha (TV),TV,2012-05-28,2017-01-15,23,9.25,Studio Live
Love Live! The School Idol Movie,Movie,2014-07-18,2016-11-26,9,4.43,Studio Nue
Mahoutsukai no Yome: Hoshi Matsu Hito,12,2008-10-15,2016-06-20,28,3.27,Studio Hibari
Sekaiichi Hatsukoi OVA,39,2008-08-06,2016-10-14,18,6.77,Anime International Company Inc.
Working!!!,32,2000-05-18,2016-06-09,25,2.94,Imagin 
Black Lagoon,OVA,2004-08-18,2016-04-26,1,3.41,Studio Live
Detective Conan Movie 18: The Sniper from Another Dimension,TV,2000-03-26,2016-03-04,29,9.9,GoHands
Final Fantasy VII: Advent Children Complete,29,2016-04-04,2016-02-01,15,0.98,Kyoto Animation 
Higurashi no Naku Koro ni,OVA,1997-05-19,2016-01-06,13,6.56,Studio Hibari
Hyouka,TV,2011-04-03,2016-10-16,19,8.46,Studio Nue
Interstella5555: The 5tory of The 5ecret 5tar 5ystem,Movie,2006-11-12,2016-02-24,10,1.68,Magic Bus
Kanon (2006),24,2016-12-01,2021-03-22,1,5.15,P.A.Works
Kimi ni Todoke 2nd Season,Movie,1999-11-03,2016-05-21,8,1.18,Studio Gokumi
Noragami,34,2007-12-09,2016-01-27,22,6.88,Mushi Production
Persona 3 the Movie 4: Winter of Rebirth,44,2006-10-20,2016-10-21,17,4.58,Mushi Production
xxxHOLiC Shunmuki,28,2006-01-20,2016-12-19,23,4.17,Studio Hibari
Zetsuen no Tempest,5,2009-06-22,2016-05-09,26,1.06,Studio Ghibli
Aria The Origination: Sono Choppiri Himitsu no Basho ni...,Movie,2008-10-16,2016-12-15,22,8.72,Magic Bus
Detective Conan Movie 03: The Last Wizard of the Century,Movie,2016-07-05,2018-11-16,5,0.71,Studio Gokumi
Detective Conan Movie 04: Captured in Her Eyes,22,2011-05-17,2016-08-13,15,3.98,Studio Hibari
Dragon Ball,34,2000-10-06,2016-03-15,19,9.96,Studio Nue
Hanada Shounen-shi,TV,2014-12-26,2018-01-22,6,9.99,Mushi Production
Junjou Romantica 3,Movie,2008-12-19,2016-03-26,10,1.63,Studio Gokumi
Juuni Kokuki,OVA,2006-10-27,2016-09-03,24,4.65,Studio Live
Major Movie: Yuujou no Winning Shot,Movie,1999-10-18,2016-05-14,7,1.39,Imagin 
Mirai Shounen Conan,OVA,2012-07-26,2016-02-11,16,3.51,Imagin 
One Piece Film: Strong World Episode 0,8,2016-12-19,2021-06-27,9,6.15,Studio Gokumi
Phantom: Requiem for the Phantom,26,1997-02-08,2016-10-16,17,2.66,Studio Gokumi
Tamako Love Story,27,2009-02-03,2016-03-03,19,4.49,Studio Ghibli
Toaru Kagaku no Railgun S,43,1996-11-25,2016-03-23,28,6.89,Studio Ghibli
Touch,41,2001-01-19,2016-07-22,17,5.82,Kyoto Animation 
Yowamushi Pedal,Movie,2000-12-11,2016-11-17,1,2.06,Nippon Animation
Akira,4,2014-02-04,2017-01-26,15,9.36,GoHands
Black Lagoon: Roberta s Blood Trail,46,2014-12-07,2017-08-22,4,9.07,Studio Gokumi
Durarara!!x2 Shou,Movie,2006-05-06,2016-03-04,3,6.48,Mushi Production
Gintama: Jump Festa 2015 Special,Movie,1997-04-12,2016-11-07,15,7.22,Mushi Production
High☆Speed!: Free! Starting Days,4,2012-02-12,2016-11-15,7,5.72,Magic Bus
Kyou kara Ore wa!!,25,2014-11-10,2016-10-15,17,7.21,Studio Nue
Nurarihyon no Mago: Sennen Makyou,OVA,2008-02-23,2016-06-13,21,9.25,P.A.Works
Paprika,OVA,2005-03-17,2016-03-16,14,5.28,Nippon Animation
Prince of Tennis: The National Tournament Finals,TV,2003-01-26,2016-01-17,3,0.73,GoHands
School Rumble Ni Gakki,19,2011-10-18,2016-03-25,19,6.09,Studio Live
Sekaiichi Hatsukoi,OVA,1999-09-04,2016-05-23,6,6.6,Pierrot 
Akagami no Shirayuki-hime 2nd Season,20,2012-08-12,2016-05-01,20,5.79,Pierrot 
"Clannad: Mou Hitotsu no Sekai, Tomoyo-hen",0,2004-11-06,2016-04-19,25,9.82,Mushi Production
Ginga Nagareboshi Gin,TV,2011-09-02,2016-11-13,11,6.81,GoHands
Initial D Fifth Stage,OVA,1997-05-13,2016-03-17,1,1.71,Studio Nue
K-On!!,2,2013-11-27,2018-01-12,15,0.64,Studio Live
Log Horizon,TV,2011-02-09,2016-05-07,13,7.11,Magic Bus
Sekaiichi Hatsukoi: Valentine-hen,45,2011-10-05,2016-05-11,12,7.34,Nippon Animation
Slayers Next,OVA,2002-05-01,2016-11-02,29,7.27,Magic Bus
Aria The OVA: Arietta,OVA,2005-11-28,2016-06-05,22,7.69,Studio Hibari
Detective Conan Movie 15: Quarter of Silence,TV,2006-03-10,2016-08-10,6,8.08,Studio Nue
Digimon Adventure tri. 3: Kokuhaku,TV,1997-07-18,2016-09-05,4,5.31,Pierrot 
Gintama: Nanigoto mo Saiyo ga Kanjin nano de Tasho Senobisuru Kurai ga Choudoyoi,37,2015-07-20,2016-09-27,8,0.36,Magic Bus
Igano Kabamaru,29,2002-06-24,2016-08-17,7,8.44,Studio Hibari
Kamisama Hajimemashita,TV,2009-09-16,2016-10-19,14,9.73,P.A.Works
Kara no Kyoukai: Mirai Fukuin,42,2003-12-10,2016-11-19,26,2.3,Imagin 
Mobile Suit Gundam: The 08th MS Team,20,1996-08-02,2016-11-24,16,3.99,Kyoto Animation 
Omae Umasou da na,23,2008-10-26,2016-01-04,9,2.78,Kyoto Animation 
Ushio to Tora (TV) 2nd Season,29,2011-05-03,2016-06-09,15,5.66,Magic Bus
Wolf s Rain OVA,TV,2004-07-24,2016-06-21,18,3.56,Anime International Company Inc.
Ajin 2nd Season,OVA,2009-08-20,2016-09-27,2,7.7,Kyoto Animation 
Aoki Hagane no Arpeggio: Ars Nova Cadenza,OVA,2013-12-16,2017-02-21,8,4.2,Nippon Animation
City Hunter 2,Movie,2007-09-14,2016-09-15,7,9.26,Studio Nue
Durarara!!x2 Ten,40,2004-10-12,2016-10-27,8,9.43,GoHands
ef: A Tale of Memories.,29,2010-08-18,2016-11-23,28,9.48,GoHands
Ghost in the Shell 2.0,10,2006-08-25,2016-07-12,8,9.66,Studio Nue
Ghost in the Shell: Stand Alone Complex 2nd GIG - Individual Eleven,Movie,2009-02-16,2016-01-08,2,8.15,Studio Hibari
Ginga Sengoku Gunyuuden Rai,18,2016-10-15,2021-04-12,14,9.13,Studio Nue
Initial D Second Stage,TV,2008-12-09,2016-05-18,10,1.32,Pierrot 
Kami nomi zo Shiru Sekai II,TV,2016-11-12,2021-09-22,5,3.44,Pierrot 
Noragami Aragoto OVA,Movie,2003-04-18,2016-06-22,9,2.15,Imagin 
Stand By Me Doraemon,OVA,2007-10-12,2016-08-22,16,7.61,Imagin 
Tiger &amp  Bunny,Movie,2003-07-14,2016-08-18,14,7.89,Magic Bus
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,6,2015-08-05,2016-05-03,6,3.77,Kyoto Animation 
Fullmetal Alchemist: Brotherhood Specials,TV,2002-06-27,2016-02-05,27,9.18,Studio Ghibli
Hanamonogatari,OVA,1997-09-27,2016-07-25,19,0.3,Studio Live
Kimi to Boku. 2,15,2014-08-28,2018-11-28,14,9.65,Studio Live
Ookiku Furikabutte,OVA,2016-10-20,2017-07-15,10,5.0,GoHands
Ore Monogatari!!,TV,2008-12-12,2016-05-01,30,1.32,Magic Bus
Tamayura: Sotsugyou Shashin Part 4 - Ashita,31,2000-08-04,2016-01-22,1,7.9,P.A.Works
Tekkon Kinkreet,OVA,1997-09-17,2016-10-28,16,2.36,Studio Nue
There She Is!!,Movie,2012-03-15,2016-01-16,3,1.18,Studio Nue
xxxHOLiC,19,2015-08-05,2016-08-11,21,7.08,Nippon Animation
Byousoku 5 Centimeter,3,2009-09-27,2016-08-08,13,5.25,Anime International Company Inc.
Danganronpa 3: The End of Kibougamine Gakuen - Kibou-hen,Movie,2013-03-18,2017-07-17,20,1.17,Nippon Animation
Ginga Eiyuu Densetsu Gaiden: Rasen Meikyuu,45,2002-03-28,2016-10-18,11,6.48,Studio Gokumi
Hyouge Mono,41,2010-06-16,2016-10-09,5,3.89,Studio Hibari
Karigurashi no Arrietty,TV,1996-10-12,2016-12-14,22,8.68,Mushi Production
Mahou Shoujo Lyrical Nanoha A s,Movie,2014-04-18,2016-08-25,20,2.32,Kyoto Animation 
Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen,Movie,2000-07-05,2016-10-12,11,8.5,P.A.Works
Tanaka-kun wa Itsumo Kedaruge,TV,2016-10-26,2019-04-19,16,8.51,P.A.Works
Berserk: Ougon Jidai-hen II - Doldrey Kouryaku,TV,2011-06-28,2016-12-09,6,4.46,P.A.Works
Darker than Black: Kuro no Keiyakusha Gaiden,35,2016-07-07,2016-12-21,27,1.53,Nippon Animation
Elsword: El Lady,TV,2014-09-25,2019-06-17,24,9.0,GoHands
Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai,Movie,1999-12-20,2016-12-18,27,3.0,Studio Hibari
Hikaru no Go: Journey to the North Star Cup,TV,1996-05-11,2016-09-13,15,1.19,P.A.Works
Hybrid Child,OVA,2003-01-09,2016-12-02,25,9.12,Imagin 
Isekai no Seikishi Monogatari,23,2011-07-02,2016-04-01,22,7.51,Studio Hibari
Junjou Romantica OVA,OVA,2009-10-18,2016-08-19,15,8.8,Studio Live
Kobato.,OVA,2002-08-24,2016-08-15,17,7.02,Studio Gokumi
Kuuchuu Buranko,26,2007-02-09,2016-08-28,20,4.9,Nippon Animation
Macross: Do You Remember Love?,17,2001-04-04,2016-07-21,13,1.47,Studio Ghibli
One Piece 3D2Y: Ace no shi wo Koete! Luffy Nakama Tono Chikai,16,2011-06-26,2016-04-20,8,6.69,Nippon Animation
Prince of Tennis: The National Tournament,OVA,2003-04-13,2016-02-07,2,2.79,Mushi Production
Prince of Tennis: The National Tournament Semifinals,OVA,2009-02-18,2016-07-18,14,9.76,Studio Hibari
Eyeshield 21,OVA,2010-06-06,2016-05-07,28,3.79,Kyoto Animation 
Full Moon wo Sagashite,Movie,2014-02-10,2016-02-19,9,0.72,P.A.Works
Grisaia no Rakuen,OVA,2014-07-16,2019-04-02,28,1.6,Studio Live
Jigoku Shoujo Futakomori,6,2002-07-28,2016-05-06,3,3.67,Anime International Company Inc.
Junjou Romantica,29,2015-03-10,2020-12-22,17,6.67,GoHands
Mawaru Penguindrum,33,2011-05-03,2016-12-25,17,8.26,Studio Ghibli
SKET Dance OVA,6,2000-03-09,2016-03-16,4,9.02,Mushi Production
Soul Eater,OVA,2008-11-05,2016-07-19,17,4.86,Pierrot 
Trigun: Badlands Rumble,13,2001-01-03,2016-01-20,30,3.6,Studio Ghibli
Haibane Renmei,OVA,1999-01-22,2016-10-26,13,1.81,Mushi Production
Kuroko no Basket: Tip Off,32,2016-12-09,2019-11-15,20,3.87,Kyoto Animation 
Macross,OVA,2004-10-02,2016-02-14,2,8.58,GoHands
Mirai Nikki (TV),TV,2000-03-10,2016-05-15,18,2.34,Anime International Company Inc.
Saiyuuki Reload: Burial,21,2010-05-25,2016-04-25,5,8.99,Mushi Production
Tentai Senshi Sunred 2nd Season,29,2008-06-08,2016-09-04,30,4.1,GoHands
Terra e... (TV),TV,2004-04-18,2016-08-01,6,9.25,P.A.Works
Tokyo Ghoul,Movie,1997-11-17,2016-04-03,17,2.86,Anime International Company Inc.
Usagi Drop Specials,15,2011-06-11,2016-10-27,7,9.71,Studio Nue
Yume-iro Pâtissière,Movie,2011-05-20,2016-12-20,22,2.91,Studio Gokumi
Azumanga Daioh,32,2002-01-10,2016-10-28,23,9.56,Nippon Animation
Colorful (Movie),Movie,1996-02-09,2016-09-25,4,7.95,Magic Bus
Detective Conan OVA 09: The Stranger in 10 Years...,OVA,2003-12-25,2016-12-22,7,2.69,Kyoto Animation 
Drifters: Special Edition,12,2009-11-17,2016-02-07,19,3.33,GoHands
FLCL,30,2003-05-13,2016-05-26,23,7.38,Studio Nue
Full Metal Panic! The Second Raid,14,2013-06-21,2018-04-07,6,4.44,Studio Nue
Kuroshitsuji,43,2013-08-12,2017-04-05,3,8.96,Kyoto Animation 
Love Live! School Idol Project 2nd Season,OVA,2006-07-07,2016-05-01,3,9.38,Mushi Production
Macross F Movie 2: Sayonara no Tsubasa,OVA,1996-05-22,2016-02-19,4,5.35,P.A.Works
Magi: Sinbad no Bouken,12,1996-04-26,2016-11-21,3,4.95,GoHands
Nekomonogatari: Kuro,TV,2011-04-13,2016-03-16,22,3.71,Studio Hibari
Saiunkoku Monogatari,TV,2004-12-22,2016-07-07,16,8.34,Studio Nue
School Rumble,21,2003-11-05,2016-04-06,27,6.13,Mushi Production
Strike the Blood II,46,2016-08-03,2017-03-22,28,1.32,Studio Live
Suzumiya Haruhi no Yuuutsu,16,2000-06-21,2016-10-17,14,4.9,Imagin 
Flanders no Inu (Movie),7,2009-10-11,2016-08-19,27,1.17,Studio Live
Golden Boy,0,2014-12-12,2016-06-14,5,4.38,Studio Ghibli
Grisaia no Meikyuu: Caprice no Mayu 0,19,2014-11-25,2019-09-14,28,1.91,P.A.Works
Kaleido Star,TV,2016-11-15,2020-10-23,14,4.27,Magic Bus
Kara no Kyoukai 4: Garan no Dou,TV,2014-12-10,2017-09-27,12,2.99,Kyoto Animation 
Lupin III vs. Detective Conan: The Movie,43,1996-12-23,2016-10-17,22,7.74,Nippon Animation
Non Non Biyori,12,1997-07-28,2016-08-06,28,4.85,Nippon Animation
Seitokai Yakuindomo* OVA,10,2001-10-02,2016-06-11,16,4.7,Nippon Animation
Yakitate!! Japan,0,2008-09-28,2016-01-23,30,5.19,Studio Ghibli
Beelzebub,24,2013-07-16,2016-02-07,18,9.65,Nippon Animation
Death Billiards,OVA,2005-09-08,2016-02-24,9,7.72,Kyoto Animation 
Durarara!! Specials,OVA,2015-01-18,2019-02-01,23,7.41,Studio Live
Jormungand: Perfect Order,Movie,2013-10-19,2018-06-11,27,1.16,Studio Hibari
Mahou Shoujo Lyrical Nanoha: The Movie 1st,6,2008-02-14,2016-09-05,23,4.76,Studio Nue
Overlord,1,2001-01-06,2016-11-12,29,8.97,Nippon Animation
Prince of Tennis,37,2000-01-14,2016-05-19,15,5.17,Anime International Company Inc.
Takarajima,TV,2006-02-08,2016-03-12,25,5.91,Studio Gokumi
xxxHOLiC Movie: Manatsu no Yoru no Yume,31,2016-03-06,2019-07-03,12,5.47,Magic Bus
Yuru Yuri San☆Hai!,OVA,2015-01-21,2020-09-06,11,6.88,Mushi Production
Boruto: Naruto the Movie,3,2007-02-14,2016-01-25,17,0.76,Pierrot 
Coquelicot-zaka kara,38,2007-01-27,2016-12-06,4,1.98,Magic Bus
Eikoku Koi Monogatari Emma: Molders-hen,OVA,2016-06-16,2017-01-21,10,6.91,Studio Nue
Ergo Proxy,3,2006-01-10,2016-06-15,19,9.91,Magic Bus
Hanasaku Iroha,Movie,2008-09-13,2016-06-14,1,2.03,GoHands
Hataraku Maou-sama!,OVA,1998-03-11,2016-07-17,28,5.69,Studio Live
Hibike! Euphonium,2,2015-04-01,2016-09-03,19,5.77,Anime International Company Inc.
Higashi no Eden,38,2001-06-10,2016-05-22,5,1.75,Studio Nue
Ie Naki Ko Remi,35,2001-02-09,2016-05-16,7,4.33,Studio Ghibli
Kono Subarashii Sekai ni Shukufuku wo!,15,2015-03-23,2019-03-14,29,6.02,GoHands
Kurenai no Buta,OVA,2002-06-21,2016-12-01,13,2.62,Imagin 
Mobile Suit Zeta Gundam,30,2000-08-23,2016-11-27,21,4.01,Anime International Company Inc.
Prison School,18,2014-06-12,2016-07-27,9,6.17,Mushi Production
Saint Seiya,3,2004-07-12,2016-09-26,5,7.96,Imagin 
Sayonara Zetsubou Sensei,OVA,2010-04-25,2016-02-03,5,1.6,Studio Hibari
Seto no Hanayome OVA,TV,2001-08-27,2016-07-27,20,8.98,Studio Ghibli
Zoku Sayonara Zetsubou Sensei,47,2004-07-26,2016-07-25,28,8.03,Anime International Company Inc.
Akachan to Boku,OVA,2003-07-09,2016-02-03,16,0.64,Studio Ghibli
"Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen",12,2009-09-08,2016-04-18,24,3.21,Studio Gokumi
Hakuouki Movie 2: Shikon Soukyuu,39,2016-09-18,2016-06-02,27,8.58,Nippon Animation
Kara no Kyoukai 2: Satsujin Kousatsu (Zen),Movie,1997-10-21,2016-04-06,4,7.09,Pierrot 
Macross F,14,2013-03-18,2016-06-20,2,2.0,Studio Live
Magic Kaito,37,2010-09-16,2016-03-14,12,2.63,GoHands
Sakigake!! Cromartie Koukou,Movie,2004-05-23,2016-01-10,4,3.55,Studio Nue
Shijou Saikyou no Deshi Kenichi OVA,28,2008-11-19,2016-11-01,9,8.99,P.A.Works
Touhai Densetsu Akagi: Yami ni Maiorita Tensai,Movie,2016-09-14,2021-07-21,26,4.56,P.A.Works
Carnival Phantasm,OVA,2007-08-02,2016-03-20,1,2.4,GoHands
D.Gray-man Hallow,16,2008-09-04,2016-07-11,12,8.5,Studio Hibari
Date A Live: Encore OVA,19,2006-03-05,2016-04-27,4,3.78,Mushi Production
Dragon Ball Kai (2014),32,2002-04-22,2016-08-21,29,9.66,P.A.Works
Gochuumon wa Usagi Desu ka??,47,2009-08-11,2016-04-03,21,2.32,Anime International Company Inc.
Hidamari Sketch x ☆☆☆,OVA,2012-12-22,2016-02-26,24,1.73,Studio Gokumi
Kokoro Connect,36,2000-04-14,2016-04-04,9,9.15,Imagin 
Saiyuuki Gaiden,TV,2007-07-09,2016-01-17,12,9.66,P.A.Works
Shirokuma Cafe,1,2006-08-06,2016-12-26,19,2.88,Imagin 
Tiger &amp  Bunny Movie 2: The Rising,17,2000-10-16,2016-07-06,19,2.44,Pierrot 
Zan Sayonara Zetsubou Sensei,38,2011-02-06,2016-02-15,8,5.46,Anime International Company Inc.
City Hunter,34,2001-01-28,2016-04-28,14,9.7,P.A.Works
Detective Conan Movie 02: The Fourteenth Target,21,2008-08-26,2016-11-10,19,3.14,Pierrot 
Gekkan Shoujo Nozaki-kun Specials,OVA,2016-06-01,2017-07-11,5,5.71,Studio Live
Giant Robo the Animation: Chikyuu ga Seishi Suru Hi,23,2008-04-23,2016-05-10,10,1.97,Kyoto Animation 
Hetalia: The Beautiful World Specials,20,2014-03-03,2016-02-05,22,5.07,Studio Hibari
Kaleido Star: Legend of Phoenix - Layla Hamilton Monogatari,41,2015-09-04,2016-07-08,28,3.94,Studio Ghibli
Kamisama Hajimemashita OVA,Movie,2001-06-07,2016-03-02,16,2.39,Magic Bus
Little Witch Academia,TV,2005-06-26,2016-09-18,5,2.22,P.A.Works
Maria-sama ga Miteru 3rd,Movie,2014-12-11,2017-07-16,11,6.79,Studio Nue
Mobile Suit Gundam Thunderbolt,OVA,2000-02-08,2016-09-10,14,9.04,Anime International Company Inc.
The Everlasting Guilty Crown,Movie,1996-04-01,2016-11-03,18,8.19,Imagin 
Bishoujo Senshi Sailor Moon: Sailor Stars,13,2004-01-11,2016-11-05,26,0.65,P.A.Works
Break Blade 4: Sanka no Chi,Movie,1996-08-02,2016-04-06,12,4.94,Mushi Production
Hanasaku Iroha: Home Sweet Home,OVA,2004-10-20,2016-01-09,8,0.66,Imagin 
Hidamari Sketch x Honeycomb,TV,1998-07-25,2016-09-13,25,9.06,Magic Bus
Hokuto no Ken,41,1999-09-14,2016-05-18,26,7.5,Magic Bus
Les Misérables: Shoujo Cosette,OVA,2010-10-12,2016-04-13,22,6.21,Anime International Company Inc.
Serial Experiments Lain,44,2007-02-21,2016-11-08,9,7.07,Anime International Company Inc.
Shiki,TV,2001-10-11,2016-09-18,19,2.64,Studio Gokumi
Ushiro no Shoumen Daare,0,2010-01-13,2016-09-01,30,0.05,Studio Nue
Baka to Test to Shoukanjuu Ni!,26,2012-05-04,2016-11-08,21,5.68,Imagin 
Detective Conan Movie 01: The Timed Skyscraper,20,2011-03-13,2016-02-25,27,4.77,Mushi Production
Detective Conan Movie 07: Crossroad in the Ancient Capital,Movie,2006-05-26,2016-12-06,17,1.93,P.A.Works
Gundam Build Fighters,30,2002-12-05,2016-06-10,11,7.62,Kyoto Animation 
Hetalia: The Beautiful World,TV,2004-07-17,2016-02-06,25,1.18,Kyoto Animation 
Initial D Third Stage,33,1999-09-20,2016-02-19,13,3.37,Studio Gokumi
Kuroko no Basket 3rd Season NG-shuu,30,2003-07-05,2016-10-17,3,6.32,Pierrot 
Neko no Ongaeshi,2,2016-12-26,2016-01-14,7,1.69,GoHands
Seihou Bukyou Outlaw Star,32,2003-03-05,2016-02-14,17,0.95,Nippon Animation
White Album 2,TV,2016-02-05,2019-01-15,23,2.07,Imagin 
Working !!,TV,2013-03-04,2016-11-22,19,7.27,Studio Hibari
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",24,2013-11-05,2016-07-09,27,1.29,Studio Hibari
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri 2nd Season",OVA,2013-09-25,2016-01-17,16,2.95,Studio Live
Ghost Hunt,14,2012-01-24,2016-01-01,5,8.8,Mushi Production
Gungrave,TV,1998-06-13,2016-02-21,1,2.19,Studio Nue
Jungle wa Itsumo Hare nochi Guu,14,1997-09-17,2016-03-10,15,9.99,P.A.Works
Kuroko no Basket 2nd Season NG-shuu,Movie,2014-04-10,2016-04-15,1,4.46,GoHands
Kyou kara Maou! 3rd Series,TV,2001-05-22,2016-12-24,16,8.47,Nippon Animation
Lupin III (2015),31,1997-10-02,2016-06-27,22,3.81,Studio Ghibli
Madang-Eul Naon Amtalg,OVA,1998-11-24,2016-05-08,17,8.13,Studio Hibari
Maria-sama ga Miteru 4th,1,1998-07-04,2016-04-28,16,6.53,Imagin 
Musekinin Kanchou Tylor,34,2010-06-02,2016-09-25,6,6.06,Mushi Production
Ookami to Koushinryou II: Ookami to Kohakuiro no Yuuutsu,Movie,2012-02-06,2016-07-16,30,0.33,Studio Nue
Saint Seiya: Meiou Hades Meikai-hen,Movie,2016-11-12,2018-08-21,23,7.61,Kyoto Animation 
Saint☆Oniisan (Movie),TV,2013-08-24,2018-01-18,29,7.66,Mushi Production
Seikai no Senki II,OVA,2016-03-17,2016-02-04,23,4.3,P.A.Works
Top wo Nerae! Gunbuster,16,2014-06-11,2019-10-06,29,9.37,Nippon Animation
Toshokan Sensou: Kakumei no Tsubasa,Movie,2000-08-01,2016-05-07,9,4.94,Mushi Production
Uchouten Kazoku,2,2003-12-07,2016-08-12,10,9.98,Kyoto Animation 
Baby Steps,OVA,2007-02-10,2016-02-03,7,1.73,Studio Hibari
Break Blade 5: Shisen no Hate,Movie,1997-02-03,2016-02-02,8,0.51,Kyoto Animation 
Code Geass: Hangyaku no Lelouch R2 Special Edition Zero Requiem,28,2013-10-23,2016-04-14,23,6.02,Imagin 
Goku Sayonara Zetsubou Sensei,OVA,1997-04-08,2016-05-14,6,1.26,Studio Hibari
Jormungand,OVA,2003-06-20,2016-08-10,7,1.79,Imagin 
Kindaichi Shounen no Jikenbo (TV),8,2014-03-01,2019-06-26,1,2.17,GoHands
Mobile Suit Gundam: Iron-Blooded Orphans,26,2001-06-16,2016-04-11,26,2.92,Pierrot 
Shin Mazinger Shougeki! Z-hen,Movie,2005-07-23,2016-05-25,14,5.43,Studio Live
Tentai Senshi Sunred,2,2010-09-20,2016-06-24,17,1.69,Magic Bus
Yuusha-Ou GaoGaiGar,TV,1997-02-13,2016-06-16,21,5.85,GoHands
Bleach,Movie,2005-05-03,2016-01-03,3,7.96,Anime International Company Inc.
Chuunibyou demo Koi ga Shitai!,Movie,2016-09-03,2020-01-07,8,1.35,Imagin 
City Hunter 3,OVA,2011-09-14,2016-08-28,30,8.3,Pierrot 
Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-hen,45,2010-02-26,2016-03-03,7,7.03,Pierrot 
Detective Conan Movie 08: Time Travel of the Silver Sky,21,2002-01-06,2016-07-03,26,3.53,Studio Ghibli
Detective Conan OVA 10: Kid in Trap Island,14,2008-12-25,2016-04-09,5,4.89,Kyoto Animation 
Dragon Ball Kai,16,1997-11-08,2016-12-05,18,7.09,Magic Bus
Hetalia World Series,26,1997-09-28,2016-07-27,7,5.8,Imagin 
Jungle wa Itsumo Hare nochi Guu Deluxe,25,2005-11-19,2016-09-28,9,5.93,GoHands
Kami nomi zo Shiru Sekai,TV,2005-03-05,2016-08-08,14,5.7,Pierrot 
Kyousou Giga (TV),TV,2005-10-06,2016-01-24,22,2.89,Nippon Animation
Magic Kaito 1412,42,2011-04-20,2016-10-19,22,0.47,Pierrot 
Nejimaki Seirei Senki: Tenkyou no Alderamin,OVA,2010-09-20,2016-12-15,29,9.78,Kyoto Animation 
Plastic Memories,35,2008-04-21,2016-06-25,21,5.71,Nippon Animation
Psycho-Pass Movie,46,2001-02-26,2016-01-17,10,1.42,Studio Nue
Seto no Hanayome,5,1999-08-15,2016-06-21,12,2.64,Studio Nue
Sidonia no Kishi: Daikyuu Wakusei Seneki,3,1997-01-24,2016-11-16,25,3.15,P.A.Works
Tanoshii Muumin Ikka,TV,2016-03-12,2021-12-18,24,5.42,Studio Ghibli
Tasogare Otome x Amnesia,11,2014-05-11,2017-07-28,10,1.39,Mushi Production
Vampire Hunter D (2000),29,2010-05-13,2016-07-14,24,5.78,Magic Bus
Yuru Yuri Nachuyachumi!,3,2013-05-01,2018-12-26,27,0.64,Anime International Company Inc.
Break Blade 3: Kyoujin no Ato,TV,2003-02-19,2016-07-02,6,7.42,Anime International Company Inc.
Danshi Koukousei no Nichijou Specials,TV,2016-06-17,2020-12-07,3,0.35,P.A.Works
Detective Conan Movie 09: Strategy Above the Depths,OVA,2012-01-22,2017-11-21,26,2.1,Studio Nue
Detective Conan Movie 12: Full Score of Fear,Movie,2003-06-17,2016-08-15,5,8.02,Pierrot 
Final Fantasy VII: Advent Children,OVA,2012-03-20,2016-06-10,27,0.37,Studio Live
Free!: Eternal Summer,4,2002-12-17,2016-06-03,21,4.47,Anime International Company Inc.
